Dataset,Model,DimReduction,Dimensions,AnomalyMethod,Accuracy,Precision,Recall,F1,AUC
plantpathology,densenet169,umap,2,GMM,0.404,0.9705882352941176,0.18232044198895028,0.30697674418604654,0.583913844182881
plantpathology,densenet169,umap,1,IQR+CI,0.288,0.6363636363636364,0.03867403314917127,0.07291666666666667,0.4903515093282088
plantpathology,densenet169,umap,1,IsolationForest,0.514,0.9047619047619048,0.3674033149171271,0.5225933202357563,0.6329770197774041
plantpathology,densenet169,umap,1,OneClassSVM,0.288,0.5789473684210527,0.06077348066298342,0.11,0.4724157258387381
plantpathology,densenet169,umap,1,LOF,0.45,0.9306930693069307,0.2596685082872928,0.4060475161987041,0.6044719353030666
plantpathology,densenet169,umap,1,GMM,0.272,0.0,0.0,0.0,0.4927536231884058
plantpathology,densenet169,pca,2,IQR+CI,0.308,0.8076923076923077,0.058011049723756904,0.10824742268041238,0.5108895828328929
plantpathology,densenet169,pca,2,IsolationForest,0.364,0.8055555555555556,0.16022099447513813,0.2672811059907834,0.5293858595564096
plantpathology,densenet169,pca,2,OneClassSVM,0.356,0.7564102564102564,0.16298342541436464,0.2681818181818182,0.5126511329970375
plantpathology,densenet169,pca,2,LOF,0.294,0.7368421052631579,0.03867403314917127,0.07349081364829396,0.5012210745456002
plantpathology,densenet169,pca,2,GMM,0.284,0.75,0.016574585635359115,0.032432432432432434,0.5010409160060854
plantpathology,densenet169,pca,1,IQR+CI,0.308,0.8076923076923077,0.058011049723756904,0.10824742268041238,0.5108895828328929
plantpathology,densenet169,pca,1,IsolationForest,0.364,0.8055555555555556,0.16022099447513813,0.2672811059907834,0.5293858595564096
plantpathology,densenet169,pca,1,OneClassSVM,0.362,0.7590361445783133,0.17403314917127072,0.28314606741573034,0.5145528064696934
plantpathology,densenet169,pca,1,LOF,0.294,0.7368421052631579,0.03867403314917127,0.07349081364829396,0.5012210745456002
plantpathology,densenet169,pca,1,GMM,0.284,0.75,0.016574585635359115,0.032432432432432434,0.5010409160060854
plantpathology,densenet201,tsne,2,IQR+CI,0.386,0.9655172413793104,0.15512465373961218,0.26730310262529833,0.5703680822654895
plantpathology,densenet201,tsne,2,IsolationForest,0.43,0.8653846153846154,0.24930747922437674,0.3870967741935484,0.5742940273819725
plantpathology,densenet201,tsne,2,OneClassSVM,0.462,0.8898305084745762,0.29085872576177285,0.4384133611691023,0.598666772952829
plantpathology,densenet201,tsne,2,LOF,0.376,0.9622641509433962,0.14127423822714683,0.2463768115942029,0.5634428745092569
plantpathology,densenet201,tsne,2,GMM,0.366,0.9583333333333334,0.12742382271468145,0.22493887530562348,0.5565176667530243
plantpathology,densenet201,tsne,1,IQR+CI,0.382,1.0,0.1440443213296399,0.25181598062953997,0.5720221606648199
plantpathology,densenet201,tsne,1,IsolationForest,0.502,0.9,0.3490304709141274,0.5029940119760479,0.6241555232268479
plantpathology,densenet201,tsne,1,OneClassSVM,0.54,0.901840490797546,0.407202216066482,0.5610687022900763,0.6460471511987087
plantpathology,densenet201,tsne,1,LOF,0.378,1.0,0.13850415512465375,0.24330900243309003,0.5692520775623269
plantpathology,densenet201,tsne,1,GMM,0.39,0.9666666666666667,0.16066481994459833,0.2755344418052256,0.5731381653679826
plantpathology,densenet201,umap,2,IQR+CI,0.358,0.9,0.12465373961218837,0.21897810218978103,0.5443412582953028
plantpathology,densenet201,umap,2,IsolationForest,0.432,0.8666666666666667,0.2520775623268698,0.3905579399141631,0.5756790689332191
plantpathology,densenet201,umap,2,OneClassSVM,0.448,0.8695652173913043,0.2770083102493075,0.42016806722689076,0.5845473205922797
plantpathology,densenet201,umap,2,LOF,0.322,0.8666666666666667,0.07202216066481995,0.1329923273657289,0.5216225911237768
plantpathology,densenet201,umap,2,GMM,0.348,0.9487179487179487,0.10249307479224377,0.185,0.5440522927918052
plantpathology,densenet201,umap,1,IQR+CI,0.474,0.9803921568627451,0.2770083102493075,0.4319654427645788,0.6313099105203371
plantpathology,densenet201,umap,1,IsolationForest,0.676,0.9383259911894273,0.590027700831025,0.7244897959183674,0.7446541381852966
plantpathology,densenet201,umap,1,OneClassSVM,0.586,0.9139784946236559,0.4709141274238227,0.6215722120658135,0.677903106877379
plantpathology,densenet201,umap,1,LOF,0.508,0.9914529914529915,0.32132963988919666,0.48535564853556484,0.6570676976424401
plantpathology,densenet201,umap,1,GMM,0.474,0.9803921568627451,0.2770083102493075,0.4319654427645788,0.6313099105203371
plantpathology,densenet201,pca,2,IQR+CI,0.34,0.7924528301886793,0.11634349030470914,0.2028985507246377,0.5186033998286136
plantpathology,densenet201,pca,2,IsolationForest,0.418,0.8571428571428571,0.23268698060941828,0.3660130718954248,0.5659837780744933
plantpathology,densenet201,pca,2,OneClassSVM,0.394,0.7735849056603774,0.22714681440443213,0.3511777301927195,0.5272424719504175
plantpathology,densenet201,pca,2,LOF,0.33,0.7954545454545454,0.09695290858725762,0.1728395061728395,0.5161023535742043
plantpathology,densenet201,pca,2,GMM,0.298,0.8571428571428571,0.0332409972299169,0.064,0.5094262540106418
plantpathology,densenet201,pca,1,IQR+CI,0.34,0.7924528301886793,0.11634349030470914,0.2028985507246377,0.5186033998286136
plantpathology,densenet201,pca,1,IsolationForest,0.418,0.8571428571428571,0.23268698060941828,0.3660130718954248,0.5659837780744933
plantpathology,densenet201,pca,1,OneClassSVM,0.388,0.7835051546391752,0.21052631578947367,0.3318777292576419,0.5297235895494131
plantpathology,densenet201,pca,1,LOF,0.33,0.7954545454545454,0.09695290858725762,0.1728395061728395,0.5161023535742043
plantpathology,densenet201,pca,1,GMM,0.298,0.8571428571428571,0.0332409972299169,0.064,0.5094262540106418
plantpathology,dinov2_vitb14,tsne,2,IQR+CI,0.644,0.9518716577540107,0.5129682997118156,0.6666666666666666,0.7270723851500255
plantpathology,dinov2_vitb14,tsne,2,IsolationForest,0.646,0.9207920792079208,0.5360230547550432,0.6775956284153005,0.7157239456781753
plantpathology,dinov2_vitb14,tsne,2,OneClassSVM,0.448,0.8380952380952381,0.25360230547550433,0.3893805309734513,0.5712455971821966
plantpathology,dinov2_vitb14,tsne,2,LOF,0.554,0.9133333333333333,0.39481268011527376,0.5513078470824949,0.6549226799269179
plantpathology,dinov2_vitb14,tsne,2,GMM,0.35,0.9230769230769231,0.069164265129683,0.128686327077748,0.5280461848524233
plantpathology,dinov2_vitb14,tsne,1,IQR+CI,0.696,0.8884462151394422,0.6426512968299711,0.745819397993311,0.7298223804411293
plantpathology,dinov2_vitb14,tsne,1,IsolationForest,0.728,0.934156378600823,0.654178674351585,0.7694915254237288,0.7748017554764463
plantpathology,dinov2_vitb14,tsne,1,OneClassSVM,0.65,0.9056603773584906,0.553314121037464,0.6869409660107334,0.711297583394549
plantpathology,dinov2_vitb14,tsne,1,LOF,0.52,0.9495798319327731,0.3256484149855908,0.48497854077253216,0.6432163643555405
plantpathology,dinov2_vitb14,tsne,1,GMM,0.372,0.9459459459459459,0.10086455331412104,0.18229166666666666,0.5438963289446422
plantpathology,dinov2_vitb14,umap,2,IQR+CI,0.524,0.9224806201550387,0.34293948126801155,0.5,0.6387900020719143
plantpathology,dinov2_vitb14,umap,2,IsolationForest,0.674,0.9259259259259259,0.5763688760806917,0.7104795737122558,0.7358968563409993
plantpathology,dinov2_vitb14,umap,2,OneClassSVM,0.514,0.8513513513513513,0.3631123919308357,0.509090909090909,0.6096607711288166
plantpathology,dinov2_vitb14,umap,2,LOF,0.67,0.9252336448598131,0.5706051873198847,0.7058823529411765,0.733015011960596
plantpathology,dinov2_vitb14,umap,2,GMM,0.438,0.9714285714285714,0.19596541786743515,0.3261390887290168,0.5914467612212992
plantpathology,dinov2_vitb14,umap,1,IQR+CI,0.556,0.8881987577639752,0.41210374639769454,0.562992125984252,0.6472283437870825
plantpathology,dinov2_vitb14,umap,1,IsolationForest,0.608,0.9171270718232044,0.4783861671469741,0.6287878787878788,0.6901734757303498
plantpathology,dinov2_vitb14,umap,1,OneClassSVM,0.546,0.8529411764705882,0.41786743515850144,0.5609284332688588,0.6272343711740219
plantpathology,dinov2_vitb14,umap,1,LOF,0.676,0.8744939271255061,0.622478386167147,0.7272727272727273,0.7099320035410899
plantpathology,dinov2_vitb14,umap,1,GMM,0.302,0.0,0.0,0.0,0.4934640522875817
plantpathology,dinov2_vitb14,pca,2,IQR+CI,0.576,0.9245283018867925,0.42363112391930835,0.5810276679841897,0.6725998756851445
plantpathology,dinov2_vitb14,pca,2,IsolationForest,0.55,0.8961038961038961,0.3976945244956772,0.5508982035928144,0.6465596805484922
plantpathology,dinov2_vitb14,pca,2,OneClassSVM,0.49,0.8382352941176471,0.3285302593659942,0.4720496894409938,0.592369704846396
plantpathology,dinov2_vitb14,pca,2,LOF,0.426,0.9166666666666666,0.19020172910662825,0.315035799522673,0.5754930214160593
