Dataset,Model,DimReduction,Dimensions,ClusterizationMethod,CohenK
plantvillage,googlenet,umap,2,KMeans,0.564109442060086
plantvillage,googlenet,umap,2,Hierarchical,0.53994734579841
plantvillage,googlenet,umap,2,GMM,0.567555245655439
plantvillage,googlenet,umap,2,DBSCAN,0.597053495311168
plantvillage,googlenet,umap,1,KMeans,0.761108456760631
plantvillage,googlenet,umap,1,Hierarchical,0.716954429663176
plantvillage,googlenet,umap,1,GMM,0.752410271095838
plantvillage,googlenet,umap,1,DBSCAN,0.420930722257317
plantvillage,googlenet,pca,2,KMeans,0.0730650648522221
plantvillage,googlenet,pca,2,Hierarchical,0.0806857081728712
plantvillage,googlenet,pca,2,GMM,0.0832270408163267
plantvillage,googlenet,pca,2,DBSCAN,0.0690994201819245
plantvillage,googlenet,pca,1,KMeans,0.0730650648522221
plantvillage,googlenet,pca,1,Hierarchical,0.0806857081728712
plantvillage,googlenet,pca,1,GMM,0.0832270408163267
plantvillage,googlenet,pca,1,DBSCAN,0.0690994201819245
plantvillage,inception_v3,tsne,2,KMeans,0.514691874555386
plantvillage,inception_v3,tsne,2,Hierarchical,0.351721280250222
plantvillage,inception_v3,tsne,2,GMM,0.500695999515826
plantvillage,inception_v3,tsne,2,DBSCAN,0.503637970484619
plantvillage,inception_v3,tsne,1,KMeans,0.197365713109693
plantvillage,inception_v3,tsne,1,Hierarchical,0.3753115933759
plantvillage,inception_v3,tsne,1,GMM,0.20528434306946
plantvillage,inception_v3,tsne,1,DBSCAN,0.261008986658573
plantvillage,inception_v3,umap,2,KMeans,0.46065729461009
plantvillage,inception_v3,umap,2,Hierarchical,0.277801198366241
plantvillage,inception_v3,umap,2,GMM,0.440540791243449
plantvillage,inception_v3,umap,2,DBSCAN,0.37511041897047
plantvillage,inception_v3,umap,1,KMeans,0.294249849257249
plantvillage,inception_v3,umap,1,Hierarchical,0.4225999499397
plantvillage,inception_v3,umap,1,GMM,0.298173186087316
plantvillage,inception_v3,umap,1,DBSCAN,0.295304755160957
plantvillage,inception_v3,pca,2,KMeans,0.303186279343417
plantvillage,inception_v3,pca,2,Hierarchical,0.26887598223437
plantvillage,inception_v3,pca,2,GMM,0.32426196221141
plantvillage,inception_v3,pca,2,DBSCAN,0.36592501140664
plantvillage,inception_v3,pca,1,KMeans,0.303186279343417
plantvillage,inception_v3,pca,1,Hierarchical,0.26887598223437
plantvillage,inception_v3,pca,1,GMM,0.32426196221141
plantvillage,inception_v3,pca,1,DBSCAN,0.36592501140664
plantvillage,mobilenet_v3_large,tsne,2,KMeans,0.584903671296418
plantvillage,mobilenet_v3_large,tsne,2,Hierarchical,0.571680856111126
plantvillage,mobilenet_v3_large,tsne,2,GMM,0.591514033469495
plantvillage,mobilenet_v3_large,tsne,2,DBSCAN,0.428970243004886
plantvillage,mobilenet_v3_large,tsne,1,KMeans,0.545202879063514
plantvillage,mobilenet_v3_large,tsne,1,Hierarchical,0.594818953249354
plantvillage,mobilenet_v3_large,tsne,1,GMM,0.574964415625494
plantvillage,mobilenet_v3_large,tsne,1,DBSCAN,0.825481037721481
plantvillage,mobilenet_v3_large,umap,2,KMeans,0.5782926122137
plantvillage,mobilenet_v3_large,umap,2,Hierarchical,0.631259295984135
plantvillage,mobilenet_v3_large,umap,2,GMM,0.645650048875855
plantvillage,mobilenet_v3_large,umap,2,DBSCAN,0.593306262453025
plantvillage,mobilenet_v3_large,umap,1,KMeans,0.724138767294377
